D-14,D-13,D-12,D-11,D-10,D-9,D-8,D-7,D-6,D-5,D-4,D-3,D-2,D-1,Dday,marketAverage,fluctuation,amount,label
2.05,0.57,0.28,0.28,0.85,-1.4,4.84,2.72,0.53,-0.53,0.0,0.26,-1.58,0.27,0.0,-0.61,2,3,-8.556149732620321
-1.61,-1.31,-0.66,1.0,0.99,0.66,0.0,0.0,-0.98,-1.97,-2.01,-0.68,-3.1,0.71,-1.41,-0.59,2,3,-2.508960573476704
0.0,0.0,0.0,0.0,0.0,0.0,5.07,12.07,-5.54,-1.95,-1.66,-1.86,-1.38,-0.35,-2.28,0.57,2,3,9.498207885304666
3.0,-1.82,2.96,0.0,-1.8,-4.76,0.0,0.0,0.23,0.23,-0.54,-0.62,0.54,-2.0,-0.39,0.78,2,3,-4.498816101026049
-1.2,0.3,0.3,-2.41,-2.47,-4.11,-1.65,-6.04,0.0,-2.86,11.4,-3.3,3.07,-1.32,-5.03,-1.83,2,3,9.540636042402827
0.36,1.07,2.12,-4.15,1.81,-1.77,2.53,1.06,-2.44,-1.43,-0.72,-0.73,0.37,0.0,-0.37,-0.03,2,3,-8.823529411764708
-3.63,2.35,1.38,4.31,-1.09,0.22,0.66,-0.87,1.1,2.39,6.16,2.0,-1.76,0.4,-4.77,-1.35,3,3,4.592901878914413
-1.66,-3.37,-3.49,1.03,-3.58,-1.86,-3.24,-6.15,5.36,-5.65,2.4,-1.75,3.87,-3.72,2.38,1.02,3,3,-7.558139534883724
-2.84,0.55,-2.36,8.01,0.0,0.86,-7.18,-0.74,0.37,-0.18,-1.48,-0.19,-5.93,-1.5,-1.63,0.35,3,3,4.545454545454541
8.77,-5.28,-13.31,2.68,7.48,0.32,-0.81,-2.11,-1.66,-2.7,0.87,-3.61,-0.36,0.0,-2.51,-0.44,3,3,-3.676470588235292
-5.33,-5.11,1.3,-2.75,-1.69,4.02,4.97,0.7,1.39,-0.34,-0.17,-1.21,0.52,4.17,12.52,0.7,3,3,13.204747774480708
0.0,-5.96,3.67,-0.32,3.23,1.56,-0.92,-2.17,0.32,0.95,0.94,-0.62,-0.63,-0.31,1.26,1.81,3,3,9.345794392523366
-1.01,-1.32,-1.13,-2.19,-1.81,-4.34,4.08,-0.33,0.87,1.73,-1.17,-1.19,0.33,2.39,-0.74,-0.26,1,3,7.807486631016047
-5.1,-6.04,-6.43,5.34,9.18,4.87,-4.85,-1.33,-1.57,4.57,-2.4,-0.89,-0.9,2.96,-2.65,0.57,1,3,26.590909090909086
2.22,-8.97,-9.85,2.98,0.0,-0.96,9.09,-6.55,0.96,-3.79,5.25,-1.56,-4.43,-6.29,-5.65,-1.22,1,3,3.7453183520599342
4.29,3.29,1.2,-3.15,0.81,-7.26,-1.3,2.64,12.45,0.38,1.52,-4.87,2.36,0.0,-1.92,0.11,1,3,3.9215686274509887
0.51,-1.02,-0.31,1.04,0.72,-2.14,4.69,-1.79,1.22,1.6,-2.46,0.4,1.41,2.18,-0.58,-0.18,1,3,-1.66015625
14.89,-6.23,-7.9,-4.48,-3.88,6.37,0.2,-6.57,-3.2,-3.08,0.91,-3.15,-7.44,-2.76,-1.03,-0.41,1,3,-12.271540469973885
